"EV:AC_DAUNT" , "*$char* attrape *$char* dans un coin et se mets à lui hurler dessus..."
"EV:PSY_SESSION" , "*$char* est satisfaite. La séance de *$char* s'est bien passée, mais il en faudra d'autres."
"EV:PSY_SESSION_MUSH" , "« …Docteur, tout allait bien... et puis le Mush a tout bouleversé dans ma vie... » La séance s'est bien passée, mais le patient est vraiment trop bavard..."
"EV:PSY_SESSION_SUCCESS" , "La séance est une réussite, *$char* est guéri de sa maladie ($disorder). *$char* est très satisfait."
"EV:PSY_SESSION_SUCCESS" , "La séance est une réussite, *$char* est guérie de sa maladie ($disorder). *$char* est très satisfaite."
"EV:RATION_UNCOOKED" , "Vous avez hypercongelé et reconditionné de la nourriture."
"EV:RATION_UNCOOKED_SIMPLE" , "Vous avez hypercongelé de la nourriture."
"EV:READ_BOOK" , "Les apprentrons sont des modèles perfectionné de livres neuro-cryptique. Ils permettent d'infuser de la connaissance dans n'importe quel esprit aussi vierge soit il. Malheureusement leur haut degré d'entropie cause leur destruction après imprégnation."
"EV:READ_BOOK" , "Note du Commandant Kim $char. Trop de capitaines ne savent pas encore faire fonctionner un navire interstellaire standard. Avec PILGRED et sa future popularisation, la propulsion au Neutro Fuel sera bientôt reléguée au rang d'archaïsme. Cependant j'éprouve le besoin d'indiquer la procédure de voyage d'urgence au cas où je viendrais à disparaître."
"EV:READ_BOOK" , "Pour effectuer de réelles avancées sur le Mush : J'ai laissé sur le Daedalus mon plus bel échantillon de Mush. C'est un Dendrite de champignon au stade 3. On peut aussi penser que Zhong est un atout très important et l'étudier est un moyen puissant d'avancer. Enfin un corps de Mush cryogénisé pourrait être une source incroyable de donnée. Il faut se montrer discret et prudent cependant. Le Mush est partout et il entravera peut-être notre recherche scientifique. La science vaincra le Mush. Nils Carlsson"
"EV:REPAIR_HULL_TRY_SUCCESS" , "La tentative de *$char* de réparation de la coque a réussi. Il était temps que quelqu'un s'occupe de ça..."
"EV:REPAIR_HURT" , "Ça ne devait pas se passer comme cela. Lors de votre action, vous vous êtes fait mal..."
"EV:REPAIR_HURT_GLOVES" , "Ça ne devait pas se passer comme cela. Grâce à vos *$item*, vous avez évité la catastrophe..."
"EV:REPAIR_PATROL_TRY_SUCCESS" , "La tentative de *$char* de réparation du *$patroler_name* a réussi. Youhou ! Il est comme neuf !"
"EV:ROOM_DELOGED" , "Pchhhhhh...."
"EV:SCAN_DISMISSED" , "Vous avez effacé une planète de votre espace de travail."
"EV:SCAN_RESULTS" , "Vous avez exécuté le scan thermique et déniché une planète"
"EV:SCREAM" , "AAAaaaaaaaRRRrgghhhhhhh...."
"EV:SEE_CHITCHAT" , "*$char* et *$char* papotent innocemment..."
"EV:SELF_HEAL_NOT_ENOUGH" , "*$char* se sent soulagé mais le traitement est insuffisant. Il faudra recommencer."
"EV:SELF_HEAL_NOT_ENOUGH" , "*$char* se sent soulagée mais le traitement est insuffisant. Il faudra en reprendre."
"EV:SELF_HEAL_SUCCESS" , "*$char* est soulagé. Il a réussi à se guérir de sa maladie ($desease )"
"EV:SELF_HEAL_SUCCESS" , "*$char* est soulagé. Il a réussi à se guérir de sa maladie ($disorder )"
"EV:SELF_HEAL_SUCCESS" , "*$char* est soulagée. Elle a réussi à se guérir de sa maladie ($desease )"
"EV:SELF_HEAL_SUCCESS" , "*$char* est soulagée. Elle a réussi à se guérir de sa maladie ($disorder )"
"EV:SELF_SURGERY_FAILED" , "L'opération semble durer une éternité....$char fait un choc septique..."
"EV:SELF_SURGERY_OK" , "L'opération semble durer une éternité...$char s'en sort admirablement. La blessure ( $injurie ) de *$char* est guérie."
"EV:SELF_SURGERY_OK" , "L'opération semble durer une éternité...l'opération s'est déroulé avec succès. $char va bien et sera bientôt sur pied. La blessure ( $injurie ) de *$char* est guérie."
"EV:SELF_SURGERY_OK" , "L'opération semble durer une éternité...une telle opération menée avec un tel brio peut faire avancer la science! La blessure ( $injurie ) de *$char* est guérie."
"EV:SENSOR_FAILURE" , "Votre tentative de scan a échoué."
"EV:SHIP_LOCAL_ADVANCE" , "*$char* lance la manœuvre de voyage. Son air exalté irradie et sa rage fait frémir jusqu'à l'air ambiant. C'est parti !"
"EV:SHIP_NO_FUEL" , "*$char* lance la manœuvre de voyage. Son air exalté irradie et sa rage fait frémir jusqu'à l'air ambiant. Mais les moteurs s'éteignent immédiatement. Le vaisseau n'a pas bougé. Il n'y avait pas de fuel."
"EV:SHIP_NO_MORE_ENGINE_PILOT" , "*$char* lance la manœuvre de voyage. Son air exalté irradie et sa rage fait frémir jusqu'à l'air ambiant. Mais...Mais... aucun ronflement, aucun fracas, pas de bruit... Les moteurs sont en panne !"
"EV:SHIP_SPIDER_TRAILING" , "*$char* lance la manœuvre de voyage. Son air exalté irradie et sa rage fait frémir jusqu'à l'air ambiant. Mais...Mais... Les moteurs poussent mais rien ne se passe...Un $hunter empêche le départ avec son champ gravitationnel !"
"EV:SHOPPED_ITEM" , "Vous avez craqué pour un *$item*. C'est si bon..."
"EV:SHOPPED_ITEM" , "Vous pouvez résister. Vous pouvez résister... Oh et puis non ! Vous avez craqué pour une *$item*. C'est si bon..."
"EV:SKILL_ADD_PA" , "Votre compétence *$skill* a porté ses fruits..."
"EV:SKILL_ADD_PA" , "Votre compétence *skill* a porté ses fruits..."
"EV:SKILL_ADD_PA_LOGISTICS" , "La compétence *$skill* de *$char* a porté ses fruits..."
"EV:SKILL_LEARNED" , "Vous avez appris la compétence $skill radio ! Faites en bon usage !"
"EV:SKILL_LEARNED" , "Vous avez appris la compétence $skill ! Faites en bon usage !"
"EV:SPREAD_FIRE" , "Tiens... ça se réchauffe par ici... *$char* a mis le feu..."
"EV:SURGERY_FAILED" , "L'opération semble durer une éternité, *$char* rend enfin son verdict, la mine défaite....$char fait un choc septique..."
"EV:SURGERY_OK" , "L'opération semble durer une éternité, *$char* rend enfin son verdict, la mine souriante...$char s'en sort admirablement. La blessure ( $injurie ) de *$char* est guérie."
"EV:SURGERY_OK" , "L'opération semble durer une éternité, *$char* rend enfin son verdict, la mine souriante...l'opération s'est déroulé avec succès. $char va bien et sera bientôt sur pied. La blessure ( $injurie ) de *$char* est guérie."
"EV:SURGERY_OK" , "L'opération semble durer une éternité, *$char* rend enfin son verdict, la mine souriante...une telle opération menée avec un tel brio peut faire avancer la science! La blessure ( $injurie ) de *$char* est guérie."
"EV:SYMPTOM_CRABISM1" , "*$char* se jette par terre en hurlant et en en appelant sa mère..."
"EV:SYMPTOM_CRABISM2" , "*$char* se met à courir en rond, et rien de semble pouvoir l'arrêter ...à part la fatigue..."
"EV:SYMPTOM_CRABISM3" , "*$char* se mets subitement à se taper la tête contre le mur...ça a l'air de faire mal..."
"EV:SYMPTOM_DROOL" , "*$char* bave vraiment beaucoup, ça commence à paraître suspect..."
"EV:SYMPTOM_FOAM" , "*$char* laisse échapper un petit filet de mousse du coin de sa bouche...C'est dégouttant.."
"EV:SYMPTOM_RASH" , "*$char* gratte ses plaques immondes, c'est vraiment atroce..."
"EV:SYMPTOM_VOMIT" , "*$char* vomit son repas. Pas très ragoutant..."
"EV:TAKEOFF_EVENT" , "Le décollage de *$char* est si mauvais qu'il a endommagé son appareil."
"EV:TAKEOFF_EVENT_INNER" , "Vous êtes monté à bord."
"EV:TORTURE" , "*$char* s'en prend violem$list_actions."
"EV:TORTURE" , "*$char* s'en prend violemment à *$char*. Il attrape un annuaire qui trainait par là et lui mets de grand coups avec... C'est sanguinolent, mais *$char* finit par parler... Ses dernières actions sont$list_actions."
"EV:TRAITOR_EFFICIENT" , "Votre action de traîtrise a favorisé un incident fâcheux."
"EV:TRAUMA_DISEASE" , "Ce que vous venez de voir vous a choqué. Vous ne serez plus jamais la même personne."
"EV:TREAT_PLANT" , "Vous répandez la bouillie rose sur vos chères plantes. Cet insecticide est tout à fait atroce mais bon, la survie de l'Humanité est en jeu."
"EV:TRIUMPH_EARNED" , "Vous avez gagné *?? Triomphe*."
"EV:TRIUMPH_EARNED_STARMAP" , "Vous avez gagné *$amount Triomphe* car vous avez ramené un autre morceau de carte stellaire."
"EV:TRIUMPH_EARNED_STARMAP_FIRST" , "Vous avez gagné *$amount Triomphe*. L'expédition a ramené un morceau de carte stellaire. Peut-être qu'elle pourra nous mener au Nouvel Eden !"
"EV:TRY_FAILED" , "Votre tentative a échouée."
"EV:TRY_KUBE" , "*$char* a décidé de tenter cet insupportable petit kube."
"EV:TRY_KUBE" , "*$char* essaie de résoudre cet affreux kube."
"EV:TURRET_HIT" , "Pool ! *$char* a touché un *$hunter*."
"EV:TURRET_HIT_HUNTER_DOWN" , "*$char* effectue sa petite danse de la victoire pour un **$hunter* de moins*."
"EV:TURRET_MISS" , "Vous avez raté votre cible."
"EV:USELESS_CHITCHAT" , "*$char* vous raconte ses derniers cycles avec ferveur et passion. Pas grand chose à en tirer mais il a l'air de se sentir mieux..."
"EV:USELESS_TORTURE" , "*$char* s'en prend violemment à *$char*. Sa tête part dans tout les sens...Mais apparemment rien à en tirer..."
"EV:WASH_SELF" , "Vous vous lavez longuement sous la douche, savourant ce moment rare et paisible.."
"EV:WASH_SELF_MUSH" , "Vous vous lavez et vous vous sentez brûlé, meurtri par toute cette eau... Que ne feriez vous pas pour passer pour l'un des leurs..."
"EV:WATER_PLANT" , "Vous arrosez les plantes avec amour."
"EV:WOUNDED" , "Vous avez été blessé : $injurie. Vous subissez des malus."
"EV:XP_OBJECT_LOST" , "*$char* a perdu un *$item*."
"EV:XP_OBJECT_LOST" , "*$char* a perdu une *$item*."
"EV:XYLOPH_SUMUP" , "Accès à la base de donnée de Xyloph autorisée. Ce disque regroupe des informations cruciales sur le gênome Mush rassemblée par $char Soulton juste avant le départ du Daedalus."
"EV:XYLOPH_SUMUP" , "Accès à la base de donnée de Xyloph autorisée. L'analyse anti-Mush de $char s'est achevée apres le départ du Daedalus Les résultats ont été envoyé à la tabulatrice, en les lisant, vous saurez quel état l'etat d'infection du Daedalus au départ !"
"EV:XYLOPH_SUMUP" , "Accès à la base de donnée de Xyloph autorisée. La liaison est de mauvaise qualité...très mauvaise, sans doute le nuage de magnetite que vous traversez en ce moment."
"EV:XYLOPH_SUMUP" , "Accès à la base de donnée de Xyloph autorisée. Rien à en tirer...La donnée a été corrompue par un virus rhizhomal."
"EV:XYLOPH_SUMUP" , "Accès à la base de donnée de Xyloph autorisée. Une partie des travaux de recherche de $char sur Xyloph-17 sont intégrés à la mémoire de Neron."
"EV:XYLOPH_SUMUP" , "Accès à la base de donnée de Xyloph autorisée. Voici plusieurs plans d'outils de bases du Daedalus en démontant un ou deux trucs on devrait disposer des matériaux nécessaire pour les construire."
"EV:XYLOPH_SUMUP" , "Accès à la base de donnée de Xyloph autorisée. Votre écran est couvert de neige grésillante, ça fait mal au crâne, vous arrêtez vos tentatives..."
"EV:XYLOPH_SUMUP" , "Accès à la base de donnée de Xyloph autorisée. Vous avez rétabli le contact avec Nils Carlsson, son aide pour les recherches du laboratoire sera précieuse."
"EV:XYLOPH_SUMUP" , "Accès à la base de donnée de Xyloph autorisée. Vous avis mis la main sur l'archive du centre de formation de Xyloph ! Ce trésor d'intelligence vous aidera a former les abrutis de votre équipage..."
"EV:XYLOPH_SUMUP" , "Accès à la base de donnée de Xyloph autorisée. Vous tombez sur un fichier contenant des recettes. Beaucoup de recettes. Beaucoup Beaucoup de recettes."
"EV:XYLOPH_SUMUP" , "Accès à la base de donnée de Xyloph autorisée. Vous êtes en contact avec Kivanç Terzi qui fédère une grande partie de la rebellion sur le système Sol, son aide vous sera précieuse pour décoder les messages de bases rebelles."
"EV:XYLOPH_SUMUP" , "Accès à la base de donnée de Xyloph autorisée. Zong $char est le seul être humain résistant a l'infection Mush, l'analyse de son génome est la clé pour l'élaboration d'un vaccin anti-Mush ainsi que de nombreuses autres recherches."
